osan_id,paakohde_tyyppi_id,paatyyppi,alakohde_tyyppi_id,alatyyppi,materiaali_id,materiaali,rakenteellinen_kunnossapito,talvikunnossapito,tkp_kiireellisyys_lk,viher_hoitoluokkka_id,laatutaso_id,yllapidon_taso,yllapidon_taso_selite,puhtaanapito,puhtaanapito_vyohyke,aluetieto,alueen_nimi,alueen_kayttotarkoitus,viheralueen_id,viheralueen_nro,katualueen_id,katualueen_nro,kadunpitopaatos_pvm,osan_nro,osan_pituus,osan_leveys,osan_pinta_ala,paivitetty_pvm,datanomistaja,paivitetty_tietopalveluun,fid,x,y
249592,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Kaupunkiympäristö Itä,,,71,KA3,Yleiskatuvihreä,Kaupunkiympäristö Itä,3,Katu,Siilitie,Kokoojakatu tai -tie,,,7492,5479,1960-12-13,1185,0,0,0,2016-12-15,Helsinki/YLRE,2022-01-21,73216,25502108.569,6677400.7136
249682,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1658,Keräysastia - Muu,Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,121,,C2,Ulkoilu- ja virkistysmetsä,Ei toimenpiteitä,5,Viher,Sopulilaakson metsä,Yleiskaavan viheralue,66541,3041,,,,101,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,73304,25501951.8479,6677846.01
249695,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,101,,C1,Lähimetsä,Ei toimenpiteitä,5,Viher,Sopulilaakson metsä,Yleiskaavan viheralue,66541,3041,,,,114,0,0,0,2015-12-17,Helsinki/YLRE,2022-01-21,73316,25502044.112,6677610.7706
249752,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,41,,A3,Käyttö- ja suojaviheralue,Ei toimenpiteitä,3,Viher,Herttoniemen aluepuisto,Asemakaavoitettu viheralue,66901,3056,,,,124,0,0,0,2011-02-21,Helsinki/YLRE,2022-01-21,73362,25502316.0109,6677573.6022
249999,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,,3,III,Tonttikadut ja vähäliikenteiset klv:t,Kaupunkiympäristö Itä,2,Katu,Tallinnanaukio,Kevyt liikenne,,,7683,5668,2004-10-01,101,0,0,0,2018-08-10,Helsinki/YLRE,2022-01-21,73428,25504455.8818,6677579.9003
250005,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,,3,III,Tonttikadut ja vähäliikenteiset klv:t,Kaupunkiympäristö Itä,2,Katu,Tallinnanaukio,Kevyt liikenne,,,7683,5668,2004-10-01,107,0,0,0,2018-08-10,Helsinki/YLRE,2022-01-21,73434,25504407.5701,6677553.1851
250006,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,,3,III,Tonttikadut ja vähäliikenteiset klv:t,Kaupunkiympäristö Itä,2,Katu,Tallinnanaukio,Kevyt liikenne,,,7683,5668,2004-10-01,108,0,0,0,2018-08-10,Helsinki/YLRE,2022-01-21,73435,25504418.1135,6677558.7954
250012,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,,3,III,Tonttikadut ja vähäliikenteiset klv:t,Kaupunkiympäristö Itä,2,Katu,Tallinnanaukio,Kevyt liikenne,,,7683,5668,2004-10-01,114,0,0,0,2018-08-10,Helsinki/YLRE,2022-01-21,73441,25504447.6875,6677559.9153
250013,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,,3,III,Tonttikadut ja vähäliikenteiset klv:t,Kaupunkiympäristö Itä,2,Katu,Tallinnanaukio,Kevyt liikenne,,,7683,5668,2004-10-01,115,0,0,0,2018-08-10,Helsinki/YLRE,2022-01-21,73442,25504408.134,6677540.4508
250059,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,,3,III,Tonttikadut ja vähäliikenteiset klv:t,Kaupunkiympäristö Itä,2,Katu,Tallinnanaukio,Kevyt liikenne,,,27455,8192,2007-08-16,128,0,0,0,2018-08-10,Helsinki/YLRE,2022-01-21,73486,25504394.4635,6677535.622
250136,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Kaupunkiympäristö Itä,,,2,II,Kokoojakadut ja vilkasliikenteiset klv:t,Kaupunkiympäristö Itä,2,Katu,Turunlinnantie,Kokoojakatu alueellinen,,,7667,5652,1994-10-01,1022,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,73528,25504493.4883,6677642.3138
250177,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,,2,II,Kokoojakadut ja vilkasliikenteiset klv:t,Kaupunkiympäristö Itä,2,Katu,Turunlinnantie,Kokoojakatu alueellinen,,,7681,5666,1994-10-01,1094,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,73566,25504614.0858,6677865.8287
